01-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
21-04-2013,Grand Total Generation,Grand Total Generation,3768,2389,2097,45.29,1887
22-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
22-04-2013,Pong HPS,396,10,120,0,0.33,14
22-04-2013,Sub Total (F ),2866,609,1248,448,15.17,632
22-04-2013,ADHPL HPS(IPP),192,0,90,65,1.14,47
22-04-2013,KWHEP  HPS(IPP),1000,0,695,0,8.85,369
22-04-2013,Malana Stg-II HPS,100,0,110,0,0.47,20
22-04-2013,Shree Cement TPS,300,0,259,229,6.10,254
22-04-2013,Budhil HPS(IPP),70,0,0,35,0.35,15
22-04-2013,Sub Total (G ),1662,0,1154,329,16.90,704
22-04-2013,,22836,15005,15456,9000,283.23,11801
22-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
22-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1052,850,21.17,882
22-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,315,295,6.59,275
22-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,961,726,18.68,778
22-04-2013,Thermal (Total),,2620,2328,1871,46.44,1935
22-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],60,60,1.53,64
22-04-2013,Grand Total Generation,Grand Total Generation,3768,2388,1931,47.97,1999
23-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
23-04-2013,Pong HPS,396,10,120,0,0.33,14
23-04-2013,Sub Total (F ),2866,590,1248,443,14.82,618
23-04-2013,ADHPL HPS(IPP),192,0,77,30,1.00,42
23-04-2013,KWHEP  HPS(IPP),1000,0,800,0,9.65,402
23-04-2013,Malana Stg-II HPS,100,0,111,0,0.49,21
23-04-2013,Shree Cement TPS,300,0,267,262,5.78,241
23-04-2013,Budhil HPS(IPP),70,0,69,69,0.55,23
23-04-2013,Sub Total (G ),1662,0,1324,361,17.47,728
23-04-2013,,22836,15193,19597,10351,298.20,12425
23-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
23-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1052,842,22.55,940
23-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,335,336,6.89,287
23-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,969,959,20.89,870
23-04-2013,Thermal (Total),,2620,2356,2137,50.33,2097
23-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],180,180,2.97,124
23-04-2013,Grand Total Generation,Grand Total Generation,3768,2536,2317,53.30,2221
24-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
24-04-2013,Pong HPS,396,10,120,0,0.34,14
24-04-2013,Sub Total (F ),2866,675,1568,449,17.42,726
24-04-2013,ADHPL HPS(IPP),192,0,80,30,1.09,46
24-04-2013,KWHEP  HPS(IPP),1000,0,835,150,11.63,485
24-04-2013,Malana Stg-II HPS,100,0,105,0,0.54,23
24-04-2013,Shree Cement TPS,300,0,261,265,6.42,268
24-04-2013,Budhil HPS(IPP),70,0,34,0,0.51,21
24-04-2013,Sub Total (G ),1662,0,1315,445,20.20,842
24-04-2013,,22836,15519,17285,11439,316.75,13198
24-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
24-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1055,1050,23.93,997
24-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,227,227,4.79,200
24-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,969,959,21.20,883
24-04-2013,Thermal (Total),,2620,2251,2236,49.93,2080
24-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],210,105,2.90,121
24-04-2013,Grand Total Generation,Grand Total Generation,3768,2461,2341,52.82,2201
25-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
25-04-2013,Pong HPS,396,52,300,0,1.38,58
25-04-2013,Sub Total (F ),2866,774,1926,622,19.99,833
25-04-2013,ADHPL HPS(IPP),192,0,90,91,1.36,56
25-04-2013,KWHEP  HPS(IPP),1000,0,851,229,12.41,517
25-04-2013,Malana Stg-II HPS,100,0,106,0,0.59,25
25-04-2013,Shree Cement TPS,300,0,262,259,6.32,264
25-04-2013,Budhil HPS(IPP),70,0,35,0,0.32,14
25-04-2013,Sub Total (G ),1662,0,1344,579,21.00,875
25-04-2013,,22836,15659,17529,11401,322.34,13431
25-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
25-04-2013,Guru Gobind Singh TPS (Ropar),,1260,842,890,21.75,906
25-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,340,295,6.72,280
25-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,945,800,19.89,829
25-04-2013,Thermal (Total),,2620,2127,1985,48.37,2015
25-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],299,133,3.63,151
25-04-2013,Grand Total Generation,Grand Total Generation,3768,2426,2118,51.99,2166
26-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
26-04-2013,Pong HPS,396,65,180,60,1.61,67
26-04-2013,Sub Total (F ),2866,879,1823,841,23.55,981
26-04-2013,ADHPL HPS(IPP),192,0,84,85,1.46,61
26-04-2013,KWHEP  HPS(IPP),1000,0,900,651,13.06,544
26-04-2013,Malana Stg-II HPS,100,0,105,0,0.59,24
26-04-2013,Shree Cement TPS,300,0,258,262,6.22,259
26-04-2013,Budhil HPS(IPP),70,0,34,69,0.68,28
26-04-2013,Sub Total (G ),1662,0,1381,1067,22.01,917
26-04-2013,,22836,16000,17282,12866,311.29,12970
26-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
26-04-2013,Guru Gobind Singh TPS (Ropar),,1260,840,840,16.93,705
26-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,338,340,6.74,281
26-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,887,961,19.10,796
26-04-2013,Thermal (Total),,2620,2065,2141,42.76,1782
26-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],321,379,7.19,299
26-04-2013,Grand Total Generation,Grand Total Generation,3768,2386,2520,49.95,2081
27-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
27-04-2013,Pong HPS,396,38,180,0,0.85,35
27-04-2013,Sub Total (F ),2866,1035,1823,776,25.18,1049
27-04-2013,ADHPL HPS(IPP),192,0,84,101,1.41,59
27-04-2013,KWHEP  HPS(IPP),1000,0,781,700,12.55,523
27-04-2013,Malana Stg-II HPS,100,0,113,0,0.52,22
27-04-2013,Shree Cement TPS,300,0,263,267,6.38,266
27-04-2013,Budhil HPS(IPP),70,0,69,35,0.66,28
27-04-2013,Sub Total (G ),1662,0,1310,1103,21.52,897
27-04-2013,,22836,15711,17256,12877,321.11,13380
27-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
27-04-2013,Guru Gobind Singh TPS (Ropar),,1260,895,690,19.69,820
27-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,95,295,4.29,179
27-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,907,889,17.73,739
27-04-2013,Thermal (Total),,2620,1897,1874,41.70,1738
27-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],412,321,8.17,340
27-04-2013,Grand Total Generation,Grand Total Generation,3768,2309,2195,49.87,2078
28-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
28-04-2013,Pong HPS,396,9,0,0,0.19,8
28-04-2013,Sub Total (F ),2866,1053,1792,802,25.05,1044
28-04-2013,ADHPL HPS(IPP),192,0,53,31,0.86,36
28-04-2013,KWHEP  HPS(IPP),1000,0,885,481,10.33,431
28-04-2013,Malana Stg-II HPS,100,0,100,0,0.48,20
28-04-2013,Shree Cement TPS,300,0,263,267,6.30,263
28-04-2013,Budhil HPS(IPP),70,0,69,35,0.66,28
28-04-2013,Sub Total (G ),1662,0,1370,814,18.63,776
28-04-2013,,22836,15853,16749,12235,305.25,12719
28-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
28-04-2013,Guru Gobind Singh TPS (Ropar),,1260,950,1050,21.02,876
28-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,95,110,2.03,84
28-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,935,953,17.85,744
28-04-2013,Thermal (Total),,2620,1980,2113,40.89,1704
28-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],411,322,8.13,339
28-04-2013,Grand Total Generation,Grand Total Generation,3768,2391,2435,49.02,2042
29-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
29-04-2013,Pong HPS,396,24,240,0,0.71,30
29-04-2013,Sub Total (F ),2866,1043,1836,681,25.57,1065
29-04-2013,ADHPL HPS(IPP),192,0,60,30,0.94,39
29-04-2013,KWHEP  HPS(IPP),1000,0,818,160,10.35,431
29-04-2013,Malana Stg-II HPS,100,0,105,0,0.55,23
29-04-2013,Shree Cement TPS,300,0,260,267,6.30,263
29-04-2013,Budhil HPS(IPP),70,0,69,35,0.66,28
29-04-2013,Sub Total (G ),1662,0,1312,492,18.80,783
29-04-2013,,22836,16058,17368,11285,317.36,13223
29-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
29-04-2013,Guru Gobind Singh TPS (Ropar),,1260,950,1052,21.83,910
29-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,95,110,2.09,87
29-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,911,969,20.23,843
29-04-2013,Thermal (Total),,2620,1956,2131,44.15,1840
29-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],471,411,8.28,345
29-04-2013,Grand Total Generation,Grand Total Generation,3768,2427,2542,52.43,2185
30-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
30-04-2013,Pong HPS,396,20,180,0,0.54,23
30-04-2013,Sub Total (F ),2866,1138,1980,960,28.09,1170
30-04-2013,ADHPL HPS(IPP),192,0,60,30,0.94,39
30-04-2013,KWHEP  HPS(IPP),1000,0,900,376,10.71,446
30-04-2013,Malana Stg-II HPS,100,0,110,0,0.49,21
30-04-2013,Shree Cement TPS,300,0,260,264,6.30,262
30-04-2013,Budhil HPS(IPP),70,0,0,28,0.53,22
30-04-2013,Sub Total (G ),1662,0,1330,698,18.96,790
30-04-2013,,22836,16393,18210,12596,328.51,13688
30-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
30-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1052,1050,22.23,926
30-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,110,110,2.33,97
30-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,658,964,18.28,762
30-04-2013,Thermal (Total),,2620,1820,2124,42.83,1785
30-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],615,411,8.36,348
30-04-2013,Grand Total Generation,Grand Total Generation,3768,2435,2535,51.19,2133
01-05-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
01-05-2013,Pong HPS,396,28,240,0,0.69,29
01-05-2013,Sub Total (F ),2866,1136,2029,914,27.70,1154
01-05-2013,ADHPL HPS(IPP),192,0,60,30,0.94,39
01-05-2013,KWHEP  HPS(IPP),1000,0,659,225,10.72,447
01-05-2013,Malana Stg-II HPS,100,0,0,0,0.06,3
01-05-2013,Shree Cement TPS,300,0,251,275,6.20,258
01-05-2013,Budhil HPS(IPP),70,0,34,50,0.54,23
01-05-2013,Sub Total (G ),1662,0,1004,580,18.46,769
01-05-2013,,22836,16900,17563,12877,331.03,13793
01-05-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
01-05-2013,Guru Gobind Singh TPS (Ropar),,1260,680,844,17.80,741
01-05-2013,Guru Nanak Dev TPS(Bhatinda),,440,95,110,2.21,92
01-05-2013,Guru Hargobind Singh TPS(L.mbt),,920,519,709,14.21,592
01-05-2013,Thermal (Total),,2620,1294,1663,34.22,1426
01-05-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],348,347,8.46,352
01-05-2013,Grand Total Generation,Grand Total Generation,3768,1642,2010,42.68,1778
02-05-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
02-05-2013,Pong HPS,396,39,240,0,0.97,40
02-05-2013,Sub Total (F ),2866,1240,2023,1118,30.39,1266
02-05-2013,ADHPL HPS(IPP),192,0,60,30,0.94,39
02-05-2013,KWHEP  HPS(IPP),1000,0,551,222,10.11,421
02-05-2013,Malana Stg-II HPS,100,0,50,0,0.48,20
02-05-2013,Shree Cement TPS,300,0,251,275,6.20,258
02-05-2013,Budhil HPS(IPP),70,0,69,0,0.63,26
02-05-2013,Sub Total (G ),1662,0,981,527,18.36,765
02-05-2013,,22836,16901,17929,12268,335.54,13981
02-05-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
