01-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
11-06-2014,Shree Cement TPS,300,0,136,135,3.33,139
11-06-2014,Budhil HPS(IPP),70,0,14,14,1.66,69
11-06-2014,Sub Total (G ),1662,0,1598,1447,37.80,1575
11-06-2014,,24221,18003,19655,17950,427.46,17811
11-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
11-06-2014,Grand Total Generation,Grand Total Generation,1260,1050,1260,27,1132
12-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
12-06-2014,Tehri HPS,1000,375,377,376,6.73,280
12-06-2014,Koteshwar HPS,400,163,400,100,3.80,158
12-06-2014,Sub Total (E),1400,538,777,476,10.53,439
12-06-2014,Bhakra HPS,1514,786,1215,472,19.29,804
12-06-2014,Dehar HPS,990,439,495,495,11.81,492
12-06-2014,Pong HPS,396,260,368,122,6.30,263
12-06-2014,Sub Total (F ),2900,1486,2078,1089,37.40,1558
12-06-2014,ADHPL HPS(IPP),192,0,200,207,4.43,185
12-06-2014,KWHEP  HPS(IPP),1000,0,970,1032,23.72,988
12-06-2014,Malana Stg-II HPS,100,0,109,60,1.65,69
12-06-2014,Shree Cement TPS,300,0,136,139,3.35,139
12-06-2014,Budhil HPS(IPP),70,0,7,14,1.40,58
12-06-2014,Sub Total (G ),1662,0,1421,1452,34.55,1439
12-06-2014,,24221,17647,17435,17585,405.51,16896
12-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
12-06-2014,Grand Total Generation,Grand Total Generation,1260,1260,1085,21,865
13-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
13-06-2014,Tehri HPS,1000,375,376,374,6.83,285
13-06-2014,Koteshwar HPS,400,163,400,100,3.80,158
13-06-2014,Sub Total (E),1400,538,776,474,10.63,443
13-06-2014,Bhakra HPS,1514,848,1216,791,20.46,853
13-06-2014,Dehar HPS,990,523,495,495,11.82,493
13-06-2014,Pong HPS,396,266,368,186,6.62,276
13-06-2014,Sub Total (F ),2900,1636,2079,1472,38.90,1621
13-06-2014,ADHPL HPS(IPP),192,0,206,191,4.34,181
13-06-2014,KWHEP  HPS(IPP),1000,0,1092,1170,26.06,1086
13-06-2014,Malana Stg-II HPS,100,0,109,60,1.65,69
13-06-2014,Shree Cement TPS,300,0,137,139,3.36,140
13-06-2014,Budhil HPS(IPP),70,0,7,14,1.40,58
13-06-2014,Sub Total (G ),1662,0,1551,1574,36.81,1534
13-06-2014,,24221,18121,18927,16426,404.41,16850
13-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
13-06-2014,Grand Total Generation,Grand Total Generation,1260,1200,950,26,1067
14-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
14-06-2014,Tehri HPS,1000,375,379,377,5.57,232
14-06-2014,Koteshwar HPS,400,132,395,90,3.11,130
14-06-2014,Sub Total (E),1400,507,774,467,8.68,362
14-06-2014,Bhakra HPS,1514,847,1105,634,20.23,843
14-06-2014,Dehar HPS,990,480,495,495,11.81,492
14-06-2014,Pong HPS,396,255,368,122,6.21,259
14-06-2014,Sub Total (F ),2900,1582,1968,1251,38.25,1594
14-06-2014,ADHPL HPS(IPP),192,0,228,188,4.74,198
14-06-2014,KWHEP  HPS(IPP),1000,0,957,1103,24.42,1017
14-06-2014,Malana Stg-II HPS,100,0,104,65,1.72,72
14-06-2014,Shree Cement TPS,300,0,136,136,4.42,184
14-06-2014,Budhil HPS(IPP),70,0,70,70,1.67,69
14-06-2014,Sub Total (G ),1662,0,1495,1562,36.98,1541
14-06-2014,,24221,18250,19065,17938,416.26,17344
14-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
14-06-2014,Grand Total Generation,Grand Total Generation,1260,1260,1260,27,1137
15-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
15-06-2014,Tehri HPS,1000,375,375,376,6.53,272
15-06-2014,Koteshwar HPS,400,155,400,91,3.36,140
15-06-2014,Sub Total (E),1400,530,775,467,9.88,412
15-06-2014,Bhakra HPS,1514,838,1104,633,19.84,827
15-06-2014,Dehar HPS,990,509,495,495,11.83,493
15-06-2014,Pong HPS,396,261,368,184,6.33,264
15-06-2014,Sub Total (F ),2900,1608,1967,1312,38.00,1583
15-06-2014,ADHPL HPS(IPP),192,0,230,229,5.44,227
15-06-2014,KWHEP  HPS(IPP),1000,0,1121,1160,26.29,1095
15-06-2014,Malana Stg-II HPS,100,0,113,101,2.46,103
15-06-2014,Shree Cement TPS,300,0,125,137,3.36,140
15-06-2014,Budhil HPS(IPP),70,0,70,70,1.67,69
15-06-2014,Sub Total (G ),1662,0,1659,1697,39.22,1634
15-06-2014,,24221,17863,19099,17639,415.59,17316
15-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
15-06-2014,Grand Total Generation,Grand Total Generation,1260,1260,1260,28,1157
16-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
16-06-2014,Tehri HPS,1000,372,375,376,6.94,289
16-06-2014,Koteshwar HPS,400,163,397,92,3.93,164
16-06-2014,Sub Total (E),1400,535,772,468,10.87,453
16-06-2014,Bhakra HPS,1514,848,1214,633,20.64,860
16-06-2014,Dehar HPS,990,443,495,499,11.72,488
16-06-2014,Pong HPS,396,238,364,124,5.85,244
16-06-2014,Sub Total (F ),2900,1530,2073,1256,38.21,1592
16-06-2014,ADHPL HPS(IPP),192,0,228,228,5.42,226
16-06-2014,KWHEP  HPS(IPP),1000,0,900,1130,21.81,909
16-06-2014,Malana Stg-II HPS,100,0,114,112,2.71,113
16-06-2014,Shree Cement TPS,300,0,114,133,3.30,138
16-06-2014,Budhil HPS(IPP),70,0,14,14,1.65,69
16-06-2014,Sub Total (G ),1662,0,1370,1617,34.89,1454
16-06-2014,,24221,17724,18979,17610,421.00,17542
16-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
16-06-2014,Grand Total Generation,Grand Total Generation,1260,1260,1260,27,1144
17-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
17-06-2014,Tehri HPS,1000,375,381,281,7.63,318
17-06-2014,Koteshwar HPS,400,175,400,100,4.05,169
17-06-2014,Sub Total (E),1400,550,781,381,11.68,487
17-06-2014,Bhakra HPS,1514,857,1216,623,20.88,870
17-06-2014,Dehar HPS,990,480,495,495,11.91,496
17-06-2014,Pong HPS,396,236,364,121,5.82,243
17-06-2014,Sub Total (F ),2900,1574,2075,1239,38.61,1609
17-06-2014,ADHPL HPS(IPP),192,0,230,230,5.41,226
17-06-2014,KWHEP  HPS(IPP),1000,0,900,900,20.92,872
17-06-2014,Malana Stg-II HPS,100,0,114,114,2.74,114
17-06-2014,Shree Cement TPS,300,0,181,137,4.07,170
17-06-2014,Budhil HPS(IPP),70,0,71,70,1.67,69
17-06-2014,Sub Total (G ),1662,0,1496,1451,34.81,1450
17-06-2014,,24221,17657,19051,18110,425.81,17742
17-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
17-06-2014,Grand Total Generation,Grand Total Generation,1260,1260,1260,28,1164
18-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
18-06-2014,Tehri HPS,1000,375,389,377,8.66,361
18-06-2014,Koteshwar HPS,400,208,400,100,4.84,202
18-06-2014,Sub Total (E),1400,583,789,477,13.51,563
18-06-2014,Bhakra HPS,1514,856,1210,633,20.70,863
18-06-2014,Dehar HPS,990,480,495,495,11.87,495
18-06-2014,Pong HPS,396,218,364,61,5.41,225
18-06-2014,Sub Total (F ),2900,1553,2069,1189,37.98,1583
18-06-2014,ADHPL HPS(IPP),192,0,227,229,5.41,226
18-06-2014,KWHEP  HPS(IPP),1000,0,0,900,9.79,408
18-06-2014,Malana Stg-II HPS,100,0,114,114,2.73,114
18-06-2014,Shree Cement TPS,300,0,222,204,5.17,215
18-06-2014,Budhil HPS(IPP),70,0,71,70,1.68,70
18-06-2014,Sub Total (G ),1662,0,634,1517,24.78,1032
18-06-2014,,24221,16427,16203,17727,392.19,16341
18-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
18-06-2014,Grand Total Generation,Grand Total Generation,1260,1260,1260,28,1153
19-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
19-06-2014,Tehri HPS,1000,385,385,385,9.07,378
19-06-2014,Koteshwar HPS,400,213,400,202,5.00,209
19-06-2014,Sub Total (E),1400,598,785,587,14.07,586
19-06-2014,Bhakra HPS,1514,848,1216,637,20.74,864
19-06-2014,Dehar HPS,990,480,660,495,13.02,543
19-06-2014,Pong HPS,396,220,364,122,5.43,226
19-06-2014,Sub Total (F ),2900,1548,2240,1254,39.19,1633
19-06-2014,ADHPL HPS(IPP),192,0,146,230,5.05,210
19-06-2014,KWHEP  HPS(IPP),1000,0,1063,0,14.37,599
19-06-2014,Malana Stg-II HPS,100,0,115,114,2.74,114
19-06-2014,Shree Cement TPS,300,0,193,201,4.92,205
19-06-2014,Budhil HPS(IPP),70,0,71,71,1.68,70
19-06-2014,Sub Total (G ),1662,0,1587,617,28.75,1198
19-06-2014,,24221,16374,19319,15500,398.80,16617
19-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
19-06-2014,Grand Total Generation,Grand Total Generation,1260,1250,1260,28,1160
20-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
20-06-2014,Tehri HPS,1000,390,389,383,8.10,337
20-06-2014,Koteshwar HPS,400,183,0,200,3.90,163
20-06-2014,Sub Total (E),1400,573,389,583,12.00,500
20-06-2014,Bhakra HPS,1514,849,1218,640,20.83,868
20-06-2014,Dehar HPS,990,515,660,600,14.12,588
20-06-2014,Pong HPS,396,224,364,121,5.58,233
20-06-2014,Sub Total (F ),2900,1588,2242,1361,40.53,1689
20-06-2014,ADHPL HPS(IPP),192,0,228,225,5.35,223
20-06-2014,KWHEP  HPS(IPP),1000,0,950,1140,24.40,1017
20-06-2014,Malana Stg-II HPS,100,0,114,114,2.64,110
20-06-2014,Shree Cement TPS,300,0,193,191,4.86,203
20-06-2014,Budhil HPS(IPP),70,0,13,13,1.68,70
20-06-2014,Sub Total (G ),1662,0,1498,1683,38.92,1622
20-06-2014,,24221,17969,19572,18154,430.31,17929
20-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
20-06-2014,Grand Total Generation,Grand Total Generation,1260,1255,1260,28,1163
21-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
21-06-2014,Tehri HPS,1000,396,395,385,7.03,293
21-06-2014,Koteshwar HPS,400,175,395,101,3.98,166
21-06-2014,Sub Total (E),1400,571,790,486,11.01,459
21-06-2014,Bhakra HPS,1514,865,1217,798,21.20,883
21-06-2014,Dehar HPS,990,560,660,615,15.30,638
21-06-2014,Pong HPS,396,224,364,121,5.29,220
21-06-2014,Sub Total (F ),2900,1649,2241,1534,41.79,1741
21-06-2014,ADHPL HPS(IPP),192,0,229,228,5.47,228
21-06-2014,KWHEP  HPS(IPP),1000,0,1198,1128,24.34,1014
21-06-2014,Malana Stg-II HPS,100,0,114,115,2.74,114
21-06-2014,Shree Cement TPS,300,0,281,283,6.87,286
21-06-2014,Budhil HPS(IPP),70,0,14,14,1.69,70
21-06-2014,Sub Total (G ),1662,0,1836,1768,41.10,1712
21-06-2014,,24221,18417,19087,19318,429.03,17876
21-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
21-06-2014,Grand Total Generation,Grand Total Generation,1260,1085,1260,28,1147
22-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
22-06-2014,Tehri HPS,1000,361,403,252,4.50,188
22-06-2014,Koteshwar HPS,400,138,90,99,2.70,113
22-06-2014,Sub Total (E),1400,499,493,351,7.21,300
22-06-2014,Bhakra HPS,1514,867,1219,797,21.29,887
22-06-2014,Dehar HPS,990,519,660,495,13.63,568
22-06-2014,Pong HPS,396,274,364,121,6.59,275
22-06-2014,Sub Total (F ),2900,1660,2243,1413,41.51,1730
22-06-2014,ADHPL HPS(IPP),192,0,228,226,5.52,230
22-06-2014,KWHEP  HPS(IPP),1000,0,1016,1200,24.15,1006
22-06-2014,Malana Stg-II HPS,100,0,113,113,2.73,114
22-06-2014,Shree Cement TPS,300,0,275,273,6.68,278
22-06-2014,Budhil HPS(IPP),70,0,74,71,1.69,70
22-06-2014,Sub Total (G ),1662,0,1706,1883,40.76,1699
22-06-2014,,24289,17869,19172,17172,401.23,16718
22-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
22-06-2014,Grand Total Generation,Grand Total Generation,1260,1260,1100,28,1160
23-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
23-06-2014,Tehri HPS,1000,412,412,409,7.27,303
23-06-2014,Koteshwar HPS,400,138,393,98,3.16,132
23-06-2014,Sub Total (E),1400,550,805,507,10.42,434
23-06-2014,Bhakra HPS,1514,861,1193,798,21.26,886
23-06-2014,Dehar HPS,990,581,660,640,15.13,630
23-06-2014,Pong HPS,396,260,364,182,6.36,265
23-06-2014,Sub Total (F ),2900,1702,2217,1620,42.75,1781
23-06-2014,ADHPL HPS(IPP),192,0,185,222,4.36,182
23-06-2014,KWHEP  HPS(IPP),1000,0,1138,946,23.37,974
23-06-2014,Malana Stg-II HPS,100,0,112,105,2.26,94
23-06-2014,Shree Cement TPS,300,0,277,273,6.78,282
23-06-2014,Budhil HPS(IPP),70,0,14,14,1.69,70
23-06-2014,Sub Total (G ),1662,0,1726,1560,38.45,1602
23-06-2014,,24289,18382,19486,17104,417.09,17379
23-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
23-06-2014,Grand Total Generation,Grand Total Generation,1260,1250,1085,26,1091
24-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
24-06-2014,Tehri HPS,1000,408,408,245,6.10,254
24-06-2014,Koteshwar HPS,400,129,395,93,3.23,135
24-06-2014,Sub Total (E),1400,537,803,338,9.33,389
24-06-2014,Bhakra HPS,1514,841,1194,772,20.86,869
24-06-2014,Dehar HPS,990,594,660,660,14.74,614
24-06-2014,Pong HPS,396,265,364,182,6.52,272
24-06-2014,Sub Total (F ),2900,1700,2218,1614,42.12,1755
24-06-2014,ADHPL HPS(IPP),192,0,196,143,3.96,165
24-06-2014,KWHEP  HPS(IPP),1000,0,1148,1187,24.98,1041
24-06-2014,Malana Stg-II HPS,100,0,110,105,2.25,94
24-06-2014,Shree Cement TPS,300,0,285,283,6.95,290
24-06-2014,Budhil HPS(IPP),70,0,14,14,1.57,66
24-06-2014,Sub Total (G ),1662,0,1753,1732,39.71,1655
24-06-2014,,24289,18748,20075,18045,428.39,17849
24-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
24-06-2014,Grand Total Generation,Grand Total Generation,1260,1250,1150,27,1126
25-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
25-06-2014,Tehri HPS,1000,411,416,237,6.09,254
25-06-2014,Koteshwar HPS,400,141,303,92,3.10,129
25-06-2014,Sub Total (E),1400,552,719,329,9.19,383
25-06-2014,Bhakra HPS,1514,853,1067,773,21.00,875
25-06-2014,Dehar HPS,990,619,660,630,15.25,635
25-06-2014,Pong HPS,396,237,364,122,5.81,242
25-06-2014,Sub Total (F ),2900,1710,2091,1525,42.06,1753
25-06-2014,ADHPL HPS(IPP),192,0,229,179,4.09,170
25-06-2014,KWHEP  HPS(IPP),1000,0,1200,1199,27.61,1150
25-06-2014,Malana Stg-II HPS,100,0,113,70,1.88,78
25-06-2014,Shree Cement TPS,300,0,288,283,6.89,287
25-06-2014,Budhil HPS(IPP),70,0,14,14,1.52,64
25-06-2014,Sub Total (G ),1662,0,1844,1745,41.99,1750
25-06-2014,,24289,18840,19712,18421,424.71,17696
25-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
25-06-2014,Grand Total Generation,Grand Total Generation,1260,1250,1250,27,1129
26-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
26-06-2014,Tehri HPS,1000,486,544,265,9.12,380
26-06-2014,Koteshwar HPS,400,188,402,101,4.95,206
26-06-2014,Sub Total (E),1400,674,946,366,14.07,586
26-06-2014,Bhakra HPS,1514,868,1174,802,21.30,888
26-06-2014,Dehar HPS,990,594,660,615,15.27,636
26-06-2014,Pong HPS,396,219,364,121,5.48,228
26-06-2014,Sub Total (F ),2900,1681,2198,1538,42.05,1752
26-06-2014,ADHPL HPS(IPP),192,0,194,179,4.07,170
26-06-2014,KWHEP  HPS(IPP),1000,0,1200,1200,28.57,1191
26-06-2014,Malana Stg-II HPS,100,0,111,75,1.95,81
26-06-2014,Shree Cement TPS,300,0,0,0,0.00,0
26-06-2014,Budhil HPS(IPP),70,0,69,35,1.34,56
26-06-2014,Sub Total (G ),1662,0,1574,1489,35.93,1497
26-06-2014,,24289,19292,20380,18815,441.92,18413
26-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
26-06-2014,Grand Total Generation,Grand Total Generation,1260,1250,1100,27,1128
27-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
27-06-2014,Tehri HPS,1000,540,269,547,8.89,370
27-06-2014,Koteshwar HPS,400,200,395,101,4.78,199
27-06-2014,Sub Total (E),1400,740,664,648,13.67,570
27-06-2014,Bhakra HPS,1514,904,1324,921,22.74,948
27-06-2014,Dehar HPS,990,597,660,635,15.22,634
27-06-2014,Pong HPS,396,204,364,122,5.09,212
27-06-2014,Sub Total (F ),2900,1705,2348,1678,43.05,1794
27-06-2014,ADHPL HPS(IPP),192,0,228,159,4.09,170
27-06-2014,KWHEP  HPS(IPP),1000,0,1200,1200,28.13,1172
27-06-2014,Malana Stg-II HPS,100,0,111,75,1.98,82
27-06-2014,Shree Cement TPS,300,0,137,140,3.37,141
27-06-2014,Budhil HPS(IPP),70,0,69,34,1.45,61
27-06-2014,Sub Total (G ),1662,0,1745,1608,39.02,1626
27-06-2014,,24289,19286,20677,19257,452.48,18853
27-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
27-06-2014,Grand Total Generation,Grand Total Generation,1260,1260,1250,28,1151
28-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
28-06-2014,Tehri HPS,1000,536,545,265,6.61,275
28-06-2014,Koteshwar HPS,400,129,300,93,3.13,130
28-06-2014,Sub Total (E),1400,665,845,358,9.73,406
28-06-2014,Bhakra HPS,1514,892,1331,802,21.79,908
28-06-2014,Dehar HPS,990,604,660,635,15.20,633
28-06-2014,Pong HPS,396,213,360,121,5.21,217
28-06-2014,Sub Total (F ),2900,1708,2351,1558,42.20,1758
28-06-2014,ADHPL HPS(IPP),192,0,227,171,4.61,192
28-06-2014,KWHEP  HPS(IPP),1000,0,900,1200,25.65,1069
28-06-2014,Malana Stg-II HPS,100,0,113,65,1.98,82
28-06-2014,Shree Cement TPS,300,0,138,138,3.37,140
28-06-2014,Budhil HPS(IPP),70,0,14,7,1.32,55
28-06-2014,Sub Total (G ),1662,0,1392,1581,36.93,1539
28-06-2014,,24289,19421,19949,19253,447.37,18640
28-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
28-06-2014,Grand Total Generation,Grand Total Generation,1260,1125,1050,25,1052
29-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
29-06-2014,Tehri HPS,1000,536,544,261,6.07,253
29-06-2014,Koteshwar HPS,400,129,300,90,3.12,130
29-06-2014,Sub Total (E),1400,665,844,351,9.18,383
29-06-2014,Bhakra HPS,1514,885,1330,811,21.90,913
29-06-2014,Dehar HPS,990,604,660,635,15.43,643
29-06-2014,Pong HPS,396,221,360,120,5.36,223
29-06-2014,Sub Total (F ),2900,1710,2350,1566,42.69,1779
29-06-2014,ADHPL HPS(IPP),192,0,200,230,5.15,215
29-06-2014,KWHEP  HPS(IPP),1000,0,900,900,21.43,893
29-06-2014,Malana Stg-II HPS,100,0,112,106,2.42,101
29-06-2014,Shree Cement TPS,300,0,134,138,3.35,140
29-06-2014,Budhil HPS(IPP),70,0,70,69,1.66,69
29-06-2014,Sub Total (G ),1662,0,1416,1443,34.01,1417
29-06-2014,,24289,19490,19448,19082,432.13,18005
29-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
29-06-2014,Grand Total Generation,Grand Total Generation,1260,1080,1090,25,1059
30-06-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
30-06-2014,Tehri HPS,1000,540,551,262,6.09,254
30-06-2014,Koteshwar HPS,400,129,302,61,3.13,130
30-06-2014,Sub Total (E),1400,669,853,323,9.22,384
30-06-2014,Bhakra HPS,1514,896,1230,814,22.14,923
30-06-2014,Dehar HPS,990,601,825,620,14.80,617
30-06-2014,Pong HPS,396,234,360,120,5.81,242
30-06-2014,Sub Total (F ),2900,1731,2415,1554,42.75,1781
30-06-2014,ADHPL HPS(IPP),192,0,231,230,5.48,228
30-06-2014,KWHEP  HPS(IPP),1000,0,900,900,21.19,883
30-06-2014,Malana Stg-II HPS,100,0,114,75,2.17,91
30-06-2014,Shree Cement TPS,300,0,205,138,4.71,196
30-06-2014,Budhil HPS(IPP),70,0,72,70,1.68,70
30-06-2014,Sub Total (G ),1662,0,1522,1413,35.24,1468
30-06-2014,,24289,18979,19974,17583,425.68,17737
30-06-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
30-06-2014,Grand Total Generation,Grand Total Generation,1260,1100,1080,26,1101
01-07-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
01-07-2014,Tehri HPS,1000,548,548,263,6.10,254
01-07-2014,Koteshwar HPS,400,129,399,91,3.15,131
01-07-2014,Sub Total (E),1400,677,947,354,9.24,385
01-07-2014,Bhakra HPS,1514,882,1307,802,21.92,913
01-07-2014,Dehar HPS,990,603,825,635,15.16,632
01-07-2014,Pong HPS,396,243,360,180,5.90,246
01-07-2014,Sub Total (F ),2900,1727,2492,1617,42.98,1791
01-07-2014,ADHPL HPS(IPP),192,0,231,231,5.53,231
01-07-2014,KWHEP  HPS(IPP),1000,0,1200,1200,28.37,1182
01-07-2014,Malana Stg-II HPS,100,0,113,104,2.62,109
01-07-2014,Shree Cement TPS,300,0,227,247,5.88,245
01-07-2014,Budhil HPS(IPP),70,0,71,71,1.68,70
01-07-2014,Sub Total (G ),1662,0,1842,1853,44.09,1837
01-07-2014,,24289,18051,19855,17591,407.06,16961
01-07-2014,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
01-07-2014,Grand Total Generation,Grand Total Generation,1260,1030,1090,24,986
02-07-2014,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
02-07-2014,Tehri HPS,1000,548,548,266,6.10,254
