"city","YR","M","D","HR","MW"
"Manila",2011,1,20,24,4964
"Manila",2011,1,21,1,4695
"Manila",2011,1,21,2,4576
"Manila",2011,1,21,3,4471
"Manila",2011,1,21,4,4428
"Manila",2011,1,21,5,4580
"Manila",2011,1,21,6,4827
"Manila",2011,1,21,7,4681
"Manila",2011,1,21,8,4999
"Manila",2011,1,21,9,5777
"Manila",2011,1,21,10,6271
"Manila",2011,1,21,11,6492
"Manila",2011,1,21,12,6348
"Manila",2011,1,21,13,6277
"Manila",2011,1,21,14,6587
"Manila",2011,1,21,15,6439
"Manila",2011,1,21,16,6353
"Manila",2011,1,21,17,6178
"Manila",2011,1,21,18,6217
"Manila",2011,1,21,19,6335
"Manila",2011,1,21,20,6116
"Manila",2011,1,21,21,5875
"Manila",2011,1,21,22,5447
"Manila",2011,1,21,23,5032
"Manila",2011,1,21,24,4860
"Manila",2011,1,22,1,4799
"Manila",2011,1,22,2,4620
"Manila",2011,1,22,3,4491
"Manila",2011,1,22,4,4429
"Manila",2011,1,22,5,4475
"Manila",2011,1,22,6,4556
"Manila",2011,1,22,7,4456
"Manila",2011,1,22,8,4814
"Manila",2011,1,22,9,5174
"Manila",2011,1,22,10,5679
"Manila",2011,1,22,11,5905
"Manila",2011,1,22,12,5859
"Manila",2011,1,22,13,5875
"Manila",2011,1,22,14,5926
"Manila",2011,1,22,15,5737
"Manila",2011,1,22,16,5514
"Manila",2011,1,22,17,5386
"Manila",2011,1,22,18,5663
"Manila",2011,1,22,19,5965
"Manila",2011,1,22,20,5901
"Manila",2011,1,22,21,5680
"Manila",2011,1,22,22,5349
"Manila",2011,1,22,23,4972
"Manila",2011,1,22,24,4835
"Manila",2011,1,23,1,4726
"Manila",2011,1,23,2,4606
"Manila",2011,1,23,3,4420
"Manila",2011,1,23,4,4357
"Manila",2011,1,23,5,4299
"Manila",2011,1,23,6,4329
"Manila",2011,1,23,7,4256
"Manila",2011,1,23,8,4416
"Manila",2011,1,23,9,4682
"Manila",2011,1,23,10,5071
"Manila",2011,1,23,11,5360
"Manila",2011,1,23,12,5340
"Manila",2011,1,23,13,5287
"Manila",2011,1,23,14,5329
"Manila",2011,1,23,15,5233
"Manila",2011,1,23,16,5130
"Manila",2011,1,23,17,4906
"Manila",2011,1,23,18,5302
"Manila",2011,1,23,19,5595
"Manila",2011,1,23,20,5550
"Manila",2011,1,23,21,5355
"Manila",2011,1,23,22,4964
"Manila",2011,1,23,23,4796
"Manila",2011,1,23,24,4629
"Manila",2011,1,24,1,4429
"Manila",2011,1,24,2,4259
"Manila",2011,1,24,3,4141
"Manila",2011,1,24,4,4184
"Manila",2011,1,24,5,4336
"Manila",2011,1,24,6,4646
"Manila",2011,1,24,7,4743
"Manila",2011,1,24,8,4949
"Manila",2011,1,24,9,5694
"Manila",2011,1,24,10,6213
"Manila",2011,1,24,11,6457
"Manila",2011,1,24,12,6293
"Manila",2011,1,24,13,6190
"Manila",2011,1,24,14,6405
"Manila",2011,1,24,15,6248
"Manila",2011,1,24,16,6158
"Manila",2011,1,24,17,5985
"Manila",2011,1,24,18,6126
"Manila",2011,1,24,19,6260
"Manila",2011,1,24,20,6009
"Manila",2011,1,24,21,5743
"Manila",2011,1,24,22,5289
"Manila",2011,1,24,23,5055
"Manila",2011,1,24,24,4869
"Manila",2011,1,25,1,4620
"Manila",2011,1,25,2,4487
"Manila",2011,1,25,3,4390
"Manila",2011,1,25,4,4360
"Manila",2011,1,25,5,4529
"Manila",2011,1,25,6,4782
"Manila",2011,1,25,7,4802
"Manila",2011,1,25,8,5148
"Manila",2011,1,25,9,5629
"Manila",2011,1,25,10,6106
"Manila",2011,1,25,11,6184
"Manila",2011,1,25,12,6160
"Manila",2011,1,25,13,6079
"Manila",2011,1,25,14,6309
"Manila",2011,1,25,15,6183
"Manila",2011,1,25,16,6119
"Manila",2011,1,25,17,5868
"Manila",2011,1,25,18,5922
"Manila",2011,1,25,19,6196
"Manila",2011,1,25,20,5995
"Manila",2011,1,25,21,5702
"Manila",2011,1,25,22,5398
"Manila",2011,1,25,23,5179
"Manila",2011,1,25,24,4755
"Manila",2011,1,26,1,4562
"Manila",2011,1,26,2,4430
"Manila",2011,1,26,3,4346
"Manila",2011,1,26,4,4375
"Manila",2011,1,26,5,4554
"Manila",2011,1,26,6,4747
"Manila",2011,1,26,7,4667
"Manila",2011,1,26,8,4968
"Manila",2011,1,26,9,5601
"Manila",2011,1,26,10,5986
"Manila",2011,1,26,11,6283
"Manila",2011,1,26,12,6097
"Manila",2011,1,26,13,6082
"Manila",2011,1,26,14,6322
"Manila",2011,1,26,15,6159
"Manila",2011,1,26,16,6062
"Manila",2011,1,26,17,5880
"Manila",2011,1,26,18,6021
"Manila",2011,1,26,19,6158
"Manila",2011,1,26,20,5947
"Manila",2011,1,26,21,5725
"Manila",2011,1,26,22,5370
"Manila",2011,1,26,23,5139
"Manila",2011,1,26,24,4748
"Manila",2011,1,27,1,4541
"Manila",2011,1,27,2,4405
"Manila",2011,1,27,3,4352
"Manila",2011,1,27,4,4323
"Manila",2011,1,27,5,4517
"Manila",2011,1,27,6,4750
"Manila",2011,1,27,7,4766
"Manila",2011,1,27,8,5206
"Manila",2011,1,27,9,5558
"Manila",2011,1,27,10,5998
"Manila",2011,1,27,11,6269
"Manila",2011,1,27,12,6105
"Manila",2011,1,27,13,5981
"Manila",2011,1,27,14,6115
"Manila",2011,1,27,15,5996
"Manila",2011,1,27,16,5996
"Manila",2011,1,27,17,5748
"Manila",2011,1,27,18,5852
"Manila",2011,1,27,19,6113
"Manila",2011,1,27,20,5917
"Manila",2011,1,27,21,5684
"Manila",2011,1,27,22,5292
"Manila",2011,1,27,23,5035
"Manila",2011,1,27,24,4805
"Manila",2011,1,28,1,4590
"Manila",2011,1,28,2,4467
"Manila",2011,1,28,3,4354
"Manila",2011,1,28,4,4339
