,Date,Forecast,Actual,Lo80,Hi80,Lo95,Hi95
335,1/12/06,NA,4025.375,NA,NA,NA,NA
336,2/12/06,NA,4138.375,NA,NA,NA,NA
337,3/12/06,NA,4119.25,NA,NA,NA,NA
338,4/12/06,NA,4984.666667,NA,NA,NA,NA
339,5/12/06,NA,4775.791667,NA,NA,NA,NA
340,6/12/06,NA,4571.875,NA,NA,NA,NA
341,7/12/06,NA,4924.333333,NA,NA,NA,NA
342,8/12/06,NA,5368.375,NA,NA,NA,NA
343,9/12/06,NA,4681.541667,NA,NA,NA,NA
344,10/12/06,NA,4097.583333,NA,NA,NA,NA
345,11/12/06,NA,4278.916667,NA,NA,NA,NA
346,12/12/06,NA,4180.416667,NA,NA,NA,NA
347,13/12/06,NA,3977.291667,NA,NA,NA,NA
348,14/12/06,NA,4105,NA,NA,NA,NA
349,15/12/06,NA,3997.708333,NA,NA,NA,NA
350,16/12/06,NA,3752.166667,NA,NA,NA,NA
351,17/12/06,NA,3373.25,NA,NA,NA,NA
352,18/12/06,NA,3894.291667,NA,NA,NA,NA
353,19/12/06,NA,4103.5,NA,NA,NA,NA
354,20/12/06,NA,4288.25,NA,NA,NA,NA
355,21/12/06,NA,4005.208333,NA,NA,NA,NA
356,22/12/06,NA,3770.333333,NA,NA,NA,NA
357,23/12/06,NA,3503.583333,NA,NA,NA,NA
358,24/12/06,NA,3563,NA,NA,NA,NA
359,25/12/06,NA,3346.75,NA,NA,NA,NA
360,26/12/06,NA,3866.625,NA,NA,NA,NA
361,27/12/06,NA,4086.333333,NA,NA,NA,NA
362,28/12/06,NA,3917.291667,NA,NA,NA,NA
363,29/12/06,NA,3721.25,NA,NA,NA,NA
364,30/12/06,NA,3467.5,NA,NA,NA,NA
365,31/12/06,NA,3130.333333,NA,NA,NA,NA
,1/1/07,NA,3577.583333,NA,NA,NA,NA
,2/1/07,NA,4178.333333,NA,NA,NA,NA
,3/1/07,NA,4387.375,NA,NA,NA,NA
,4/1/07,NA,4112.166667,NA,NA,NA,NA
,5/1/07,NA,3805.916667,NA,NA,NA,NA
,6/1/07,NA,3466.5,NA,NA,NA,NA
,7/1/07,NA,3646.333333,NA,NA,NA,NA
,8/1/07,NA,4259.458333,NA,NA,NA,NA
,9/1/07,NA,4592,NA,NA,NA,NA
,10/1/07,NA,4669.958333,NA,NA,NA,NA
,11/1/07,NA,4544.666667,NA,NA,NA,NA
,12/1/07,NA,4038.875,NA,NA,NA,NA
,13/1/07,NA,3455.541667,NA,NA,NA,NA
,14/1/07,NA,3244,NA,NA,NA,NA
,15/1/07,NA,3832.916667,NA,NA,NA,NA
,16/1/07,NA,4784.208333,NA,NA,NA,NA
,17/1/07,NA,4874.5,NA,NA,NA,NA
,18/1/07,NA,4637.333333,NA,NA,NA,NA
,19/1/07,NA,4511.541667,NA,NA,NA,NA
,20/1/07,NA,4223.5,NA,NA,NA,NA
,21/1/07,NA,4086.541667,NA,NA,NA,NA
,22/1/07,NA,4449.625,NA,NA,NA,NA
,23/1/07,NA,4819.208333,NA,NA,NA,NA
,24/1/07,NA,4790.5,NA,NA,NA,NA
,25/1/07,NA,4790.875,NA,NA,NA,NA
,26/1/07,NA,4794.625,NA,NA,NA,NA
,27/1/07,NA,4030.083333,NA,NA,NA,NA
,28/1/07,NA,4531.833333,NA,NA,NA,NA
,29/1/07,NA,5307.5,NA,NA,NA,NA
,30/1/07,NA,5095.75,NA,NA,NA,NA
,31/1/07,NA,5330.791667,NA,NA,NA,NA
,1/2/07,NA,4998.125,NA,NA,NA,NA
,2/2/07,NA,4981.125,NA,NA,NA,NA
,3/2/07,NA,4917.666667,NA,NA,NA,NA
,4/2/07,NA,4850.916667,NA,NA,NA,NA
,5/2/07,NA,5649.958333,NA,NA,NA,NA
,6/2/07,NA,5690.958333,NA,NA,NA,NA
,7/2/07,NA,5225.416667,NA,NA,NA,NA
,8/2/07,NA,5222.291667,NA,NA,NA,NA
,9/2/07,NA,5264.875,NA,NA,NA,NA
,10/2/07,NA,4835.875,NA,NA,NA,NA
,11/2/07,NA,4630.666667,NA,NA,NA,NA
,12/2/07,NA,4787.5,NA,NA,NA,NA
,13/2/07,NA,4697.458333,NA,NA,NA,NA
,14/2/07,NA,5378,NA,NA,NA,NA
,15/2/07,NA,5461.583333,NA,NA,NA,NA
,16/2/07,NA,5432.75,NA,NA,NA,NA
,17/2/07,NA,4854.833333,NA,NA,NA,NA
,18/2/07,NA,4667.541667,NA,NA,NA,NA
,19/2/07,NA,4856.541667,NA,NA,NA,NA
,20/2/07,NA,4203.708333,NA,NA,NA,NA
,21/2/07,NA,4094.333333,NA,NA,NA,NA
,22/2/07,NA,4188.625,NA,NA,NA,NA
,23/2/07,NA,4412.166667,NA,NA,NA,NA
,24/2/07,NA,4234.583333,NA,NA,NA,NA
,25/2/07,NA,3722.583333,NA,NA,NA,NA
,26/2/07,NA,4319.666667,NA,NA,NA,NA
,27/2/07,NA,4358.041667,NA,NA,NA,NA
,28/2/07,NA,4341.625,NA,NA,NA,NA
,1/3/07,NA,4088.458333,NA,NA,NA,NA
,2/3/07,NA,4106.291667,NA,NA,NA,NA
,3/3/07,NA,3977.416667,NA,NA,NA,NA
,4/3/07,NA,4187.25,NA,NA,NA,NA
,5/3/07,NA,4412.375,NA,NA,NA,NA
,6/3/07,NA,4484.25,NA,NA,NA,NA
,7/3/07,NA,4164.625,NA,NA,NA,NA
,8/3/07,NA,4223.125,NA,NA,NA,NA
,9/3/07,NA,3962.75,NA,NA,NA,NA
,10/3/07,NA,3413.25,NA,NA,NA,NA
,11/3/07,NA,3335.869565,NA,NA,NA,NA
,12/3/07,NA,3885.166667,NA,NA,NA,NA
,13/3/07,NA,3758.375,NA,NA,NA,NA
,14/3/07,NA,3737.083333,NA,NA,NA,NA
,15/3/07,NA,3820.25,NA,NA,NA,NA
,16/3/07,NA,4222.291667,NA,NA,NA,NA
,17/3/07,NA,3969.708333,NA,NA,NA,NA
,18/3/07,NA,3766.166667,NA,NA,NA,NA
,19/3/07,NA,4201.041667,NA,NA,NA,NA
,20/3/07,NA,3825.916667,NA,NA,NA,NA
,21/3/07,NA,3784.708333,NA,NA,NA,NA
,22/3/07,NA,3734.041667,NA,NA,NA,NA
,23/3/07,NA,3714.25,NA,NA,NA,NA
,24/3/07,NA,3421.5,NA,NA,NA,NA
,25/3/07,NA,3349.416667,NA,NA,NA,NA
,26/3/07,NA,3875.875,NA,NA,NA,NA
,27/3/07,NA,3968.541667,NA,NA,NA,NA
,28/3/07,NA,3865.5,NA,NA,NA,NA
,29/3/07,NA,3833,NA,NA,NA,NA
,30/3/07,NA,3855.708333,NA,NA,NA,NA
,31/3/07,NA,3409.625,NA,NA,NA,NA
,1/4/07,NA,3221.416667,NA,NA,NA,NA
,2/4/07,NA,3816.083333,NA,NA,NA,NA
,3/4/07,NA,3878.666667,NA,NA,NA,NA
,4/4/07,NA,3724.458333,NA,NA,NA,NA
,5/4/07,NA,4184.208333,NA,NA,NA,NA
,6/4/07,NA,4044.75,NA,NA,NA,NA
,7/4/07,NA,4107.666667,NA,NA,NA,NA
,8/4/07,NA,3751.583333,NA,NA,NA,NA
,9/4/07,NA,4091.791667,NA,NA,NA,NA
,10/4/07,NA,4005.958333,NA,NA,NA,NA
,11/4/07,NA,3835.416667,NA,NA,NA,NA
,12/4/07,NA,4006.291667,NA,NA,NA,NA
,13/4/07,NA,3914.625,NA,NA,NA,NA
,14/4/07,NA,3580.041667,NA,NA,NA,NA
,15/4/07,NA,3610.208333,NA,NA,NA,NA
,16/4/07,NA,3912.208333,NA,NA,NA,NA
,17/4/07,NA,3842.958333,NA,NA,NA,NA
,18/4/07,NA,3711.666667,NA,NA,NA,NA
,19/4/07,NA,3788.541667,NA,NA,NA,NA
,20/4/07,NA,3720.958333,NA,NA,NA,NA
,21/4/07,NA,3256.791667,NA,NA,NA,NA
,22/4/07,NA,3189.166667,NA,NA,NA,NA
,23/4/07,NA,3792.375,NA,NA,NA,NA
,24/4/07,NA,4067.958333,NA,NA,NA,NA
,25/4/07,NA,4118.541667,NA,NA,NA,NA
,26/4/07,NA,3900.041667,NA,NA,NA,NA
,27/4/07,NA,3618.25,NA,NA,NA,NA
,28/4/07,NA,3310.416667,NA,NA,NA,NA
,29/4/07,NA,3263.875,NA,NA,NA,NA
,30/4/07,NA,4133.041667,NA,NA,NA,NA
,1/5/07,NA,4356.125,NA,NA,NA,NA
,2/5/07,NA,4170.916667,NA,NA,NA,NA
,3/5/07,NA,3827.791667,NA,NA,NA,NA
,4/5/07,NA,3795.833333,NA,NA,NA,NA
